|		Inches	|		CM			|
|			1			|			3			|
|			1.5		|			4			|
|			2			|			5			|
|			2.5		|			6			|
|			3			|			8			|
|			3.5		|			9			|
|			4			|			10		|
|			4.5		|			11		|
|			5			|			13		|
|			5.5		|			14		|
|			6			|			15		|
|			6.5		|			17		|
|			7			|			18		|
|			7.5		|			19		|
|			8			|			20		|
|			8.5		|			22		|
|			9			|			23		|
|			9.5		|			24		|
|			10		|			25		|
|			10.5	|			27		|
|			11		|			28		|
|			11.5	|			29		|
|			12		|			30		|
|			12.5	|			32		|
|			13		|			33		|
|			13.5	|			34		|
|			14		|			36		|
|			14.5	|			37		|
|			15		|			38		|
|			15.5	|			39		|
|			16		|			41		|
|			16.5	|			42		|
|			17		|			43		|
|			17.5	|			44		|
|			18		|			46		|
|			18.5	|			47		|
|			19		|			48		|
|			19.5	|			50		|
|			20		|			51		|
|			20.5	|			52		|
|			21		|			53		|
|			21.5	|			55		|
|			22		|			56		|
|			22.5	|			57		|
|			23		|			58		|
|			23.5	|			60		|
|			24		|			61		|
|			24.5	|			62		|
|			25		|			64		|
